,wav_path,phn_path,length
0,TRAIN/DR1/FCJF0/SA1.WAV.wav,TRAIN/DR1/FCJF0/SA1.PHN,46797
1,TRAIN/DR1/FCJF0/SA2.WAV.wav,TRAIN/DR1/FCJF0/SA2.PHN,34509
2,TRAIN/DR1/FCJF0/SI1027.WAV.wav,TRAIN/DR1/FCJF0/SI1027.PHN,49460
3,TRAIN/DR1/FCJF0/SI1657.WAV.wav,TRAIN/DR1/FCJF0/SI1657.PHN,45466
4,TRAIN/DR1/FCJF0/SI648.WAV.wav,TRAIN/DR1/FCJF0/SI648.PHN,57856
5,TRAIN/DR1/FCJF0/SX127.WAV.wav,TRAIN/DR1/FCJF0/SX127.PHN,24679
6,TRAIN/DR1/FCJF0/SX217.WAV.wav,TRAIN/DR1/FCJF0/SX217.PHN,27751
7,TRAIN/DR1/FCJF0/SX307.WAV.wav,TRAIN/DR1/FCJF0/SX307.PHN,23143
8,TRAIN/DR1/FCJF0/SX37.WAV.wav,TRAIN/DR1/FCJF0/SX37.PHN,36250
9,TRAIN/DR1/FCJF0/SX397.WAV.wav,TRAIN/DR1/FCJF0/SX397.PHN,39220
10,TRAIN/DR1/FDAW0/SA1.WAV.wav,TRAIN/DR1/FDAW0/SA1.PHN,53556
11,TRAIN/DR1/FDAW0/SA2.WAV.wav,TRAIN/DR1/FDAW0/SA2.PHN,42804
12,TRAIN/DR1/FDAW0/SI1271.WAV.wav,TRAIN/DR1/FDAW0/SI1271.PHN,77824
13,TRAIN/DR1/FDAW0/SI1406.WAV.wav,TRAIN/DR1/FDAW0/SI1406.PHN,40653
14,TRAIN/DR1/FDAW0/SI2036.WAV.wav,TRAIN/DR1/FDAW0/SI2036.PHN,76698
15,TRAIN/DR1/FDAW0/SX146.WAV.wav,TRAIN/DR1/FDAW0/SX146.PHN,42087
16,TRAIN/DR1/FDAW0/SX236.WAV.wav,TRAIN/DR1/FDAW0/SX236.PHN,40141
17,TRAIN/DR1/FDAW0/SX326.WAV.wav,TRAIN/DR1/FDAW0/SX326.PHN,45978
18,TRAIN/DR1/FDAW0/SX416.WAV.wav,TRAIN/DR1/FDAW0/SX416.PHN,41780
19,TRAIN/DR1/FDAW0/SX56.WAV.wav,TRAIN/DR1/FDAW0/SX56.PHN,48436
20,TRAIN/DR1/FDML0/SA1.WAV.wav,TRAIN/DR1/FDML0/SA1.PHN,52429
21,TRAIN/DR1/FDML0/SA2.WAV.wav,TRAIN/DR1/FDML0/SA2.PHN,40960
22,TRAIN/DR1/FDML0/SI1149.WAV.wav,TRAIN/DR1/FDML0/SI1149.PHN,57959
23,TRAIN/DR1/FDML0/SI1779.WAV.wav,TRAIN/DR1/FDML0/SI1779.PHN,40551
24,TRAIN/DR1/FDML0/SI2075.WAV.wav,TRAIN/DR1/FDML0/SI2075.PHN,25600
25,TRAIN/DR1/FDML0/SX159.WAV.wav,TRAIN/DR1/FDML0/SX159.PHN,45876
26,TRAIN/DR1/FDML0/SX249.WAV.wav,TRAIN/DR1/FDML0/SX249.PHN,31949
27,TRAIN/DR1/FDML0/SX339.WAV.wav,TRAIN/DR1/FDML0/SX339.PHN,40960
28,TRAIN/DR1/FDML0/SX429.WAV.wav,TRAIN/DR1/FDML0/SX429.PHN,44237
29,TRAIN/DR1/FDML0/SX69.WAV.wav,TRAIN/DR1/FDML0/SX69.PHN,41063
30,TRAIN/DR1/FECD0/SA1.WAV.wav,TRAIN/DR1/FECD0/SA1.PHN,69837
31,TRAIN/DR1/FECD0/SA2.WAV.wav,TRAIN/DR1/FECD0/SA2.PHN,48845
32,TRAIN/DR1/FECD0/SI1418.WAV.wav,TRAIN/DR1/FECD0/SI1418.PHN,89191
33,TRAIN/DR1/FECD0/SI2048.WAV.wav,TRAIN/DR1/FECD0/SI2048.PHN,41677
34,TRAIN/DR1/FECD0/SI788.WAV.wav,TRAIN/DR1/FECD0/SI788.PHN,82535
35,TRAIN/DR1/FECD0/SX158.WAV.wav,TRAIN/DR1/FECD0/SX158.PHN,41165
36,TRAIN/DR1/FECD0/SX248.WAV.wav,TRAIN/DR1/FECD0/SX248.PHN,48845
37,TRAIN/DR1/FECD0/SX338.WAV.wav,TRAIN/DR1/FECD0/SX338.PHN,53146
38,TRAIN/DR1/FECD0/SX428.WAV.wav,TRAIN/DR1/FECD0/SX428.PHN,58676
39,TRAIN/DR1/FECD0/SX68.WAV.wav,TRAIN/DR1/FECD0/SX68.PHN,47207
40,TRAIN/DR1/FETB0/SA1.WAV.wav,TRAIN/DR1/FETB0/SA1.PHN,51405
41,TRAIN/DR1/FETB0/SA2.WAV.wav,TRAIN/DR1/FETB0/SA2.PHN,43316
42,TRAIN/DR1/FETB0/SI1148.WAV.wav,TRAIN/DR1/FETB0/SI1148.PHN,41063
43,TRAIN/DR1/FETB0/SI1778.WAV.wav,TRAIN/DR1/FETB0/SI1778.PHN,56423
44,TRAIN/DR1/FETB0/SI518.WAV.wav,TRAIN/DR1/FETB0/SI518.PHN,55706
45,TRAIN/DR1/FETB0/SX158.WAV.wav,TRAIN/DR1/FETB0/SX158.PHN,35840
46,TRAIN/DR1/FETB0/SX248.WAV.wav,TRAIN/DR1/FETB0/SX248.PHN,42189
47,TRAIN/DR1/FETB0/SX338.WAV.wav,TRAIN/DR1/FETB0/SX338.PHN,50996
48,TRAIN/DR1/FETB0/SX428.WAV.wav,TRAIN/DR1/FETB0/SX428.PHN,54887
49,TRAIN/DR1/FETB0/SX68.WAV.wav,TRAIN/DR1/FETB0/SX68.PHN,42906
50,TRAIN/DR1/FJSP0/SA1.WAV.wav,TRAIN/DR1/FJSP0/SA1.PHN,57140
51,TRAIN/DR1/FJSP0/SA2.WAV.wav,TRAIN/DR1/FJSP0/SA2.PHN,42906
52,TRAIN/DR1/FJSP0/SI1434.WAV.wav,TRAIN/DR1/FJSP0/SI1434.PHN,70144
53,TRAIN/DR1/FJSP0/SI1763.WAV.wav,TRAIN/DR1/FJSP0/SI1763.PHN,19764
54,TRAIN/DR1/FJSP0/SI804.WAV.wav,TRAIN/DR1/FJSP0/SI804.PHN,40039
55,TRAIN/DR1/FJSP0/SX174.WAV.wav,TRAIN/DR1/FJSP0/SX174.PHN,61133
56,TRAIN/DR1/FJSP0/SX264.WAV.wav,TRAIN/DR1/FJSP0/SX264.PHN,46183
57,TRAIN/DR1/FJSP0/SX354.WAV.wav,TRAIN/DR1/FJSP0/SX354.PHN,43828
58,TRAIN/DR1/FJSP0/SX444.WAV.wav,TRAIN/DR1/FJSP0/SX444.PHN,46183
59,TRAIN/DR1/FJSP0/SX84.WAV.wav,TRAIN/DR1/FJSP0/SX84.PHN,55399
60,TRAIN/DR1/FKFB0/SA1.WAV.wav,TRAIN/DR1/FKFB0/SA1.PHN,55399
61,TRAIN/DR1/FKFB0/SA2.WAV.wav,TRAIN/DR1/FKFB0/SA2.PHN,49869
62,TRAIN/DR1/FKFB0/SI1608.WAV.wav,TRAIN/DR1/FKFB0/SI1608.PHN,76391
63,TRAIN/DR1/FKFB0/SI2238.WAV.wav,TRAIN/DR1/FKFB0/SI2238.PHN,35226
64,TRAIN/DR1/FKFB0/SI978.WAV.wav,TRAIN/DR1/FKFB0/SI978.PHN,56935
65,TRAIN/DR1/FKFB0/SX168.WAV.wav,TRAIN/DR1/FKFB0/SX168.PHN,37581
66,TRAIN/DR1/FKFB0/SX258.WAV.wav,TRAIN/DR1/FKFB0/SX258.PHN,54887
67,TRAIN/DR1/FKFB0/SX348.WAV.wav,TRAIN/DR1/FKFB0/SX348.PHN,59290
68,TRAIN/DR1/FKFB0/SX438.WAV.wav,TRAIN/DR1/FKFB0/SX438.PHN,102093
69,TRAIN/DR1/FKFB0/SX78.WAV.wav,TRAIN/DR1/FKFB0/SX78.PHN,39527
70,TRAIN/DR1/FMEM0/SA1.WAV.wav,TRAIN/DR1/FMEM0/SA1.PHN,65434
71,TRAIN/DR1/FMEM0/SA2.WAV.wav,TRAIN/DR1/FMEM0/SA2.PHN,49050
72,TRAIN/DR1/FMEM0/SI1377.WAV.wav,TRAIN/DR1/FMEM0/SI1377.PHN,61850
73,TRAIN/DR1/FMEM0/SI2007.WAV.wav,TRAIN/DR1/FMEM0/SI2007.PHN,56730
74,TRAIN/DR1/FMEM0/SI747.WAV.wav,TRAIN/DR1/FMEM0/SI747.PHN,48436
75,TRAIN/DR1/FMEM0/SX117.WAV.wav,TRAIN/DR1/FMEM0/SX117.PHN,51712
76,TRAIN/DR1/FMEM0/SX207.WAV.wav,TRAIN/DR1/FMEM0/SX207.PHN,33076
77,TRAIN/DR1/FMEM0/SX297.WAV.wav,TRAIN/DR1/FMEM0/SX297.PHN,43111
78,TRAIN/DR1/FMEM0/SX333.WAV.wav,TRAIN/DR1/FMEM0/SX333.PHN,82228
79,TRAIN/DR1/FMEM0/SX387.WAV.wav,TRAIN/DR1/FMEM0/SX387.PHN,60724
80,TRAIN/DR1/FSAH0/SA1.WAV.wav,TRAIN/DR1/FSAH0/SA1.PHN,57754
